Make,Model,GC Number,kW Gross,kW Net,Net kW (+5%/-10%),Max CO2%,Min CO2%,Max Ratio,Max Co (PPM),Max (Burner Pressure Mb),Min (Burner Pressure Mb),Strip Service Required
Alpha,CB 28 X,47-532-17,34,36.6,32.9 - 38.4,N/A,N/A,N/A,N/A,11.7,2.5,Yes
Alpha,CD 28 C,47-532-33,31.6,28.5,25.7 - 29.9,N/A,N/A,N/A,N/A,7.55,0.52,If Ratio is greater than 0.0003
Alpha,CD 28 X,47-532-37,31.9,28.7,25.8 - 30.1,N/A,N/A,N/A,N/A,8.83,0.24,If Ratio is greater than 0.0003
Alpha,InTec 24 X,47-532-45,27.5,24.8,22.3 - 26.0,9.4 (+/-0.25),8.6 (+/- 0.25),0.003,200,6.48,0.17,If Ratio is greater than 0.0003
Alpha,InTec 28 X,47-532-46,31.4,28.3,25.5 - 29.7,9.45 (+/-025),8.6 (+/-0.25),0.003,200,N/A,N/A,If Ratio is greater than 0.0003
Ariston,E-Combi 30,47-116-63,33.3,30,27.0 - 31.5,9.0 (+/-0.2),9.0 (+/-0.2),0.004,100,N/A,N/A,Yes
Atag,iC 24,47-310-19,26.6,24,21.6 - 25.2,9.0 (+0.6/-0.4),Above 7.6 (must be 0.3 lower than max co2 reading),0.004,N/A,N/A,N/A,Yes
Atag,iC 28,47-310-21,30.3,27.3,24.6 - 28.7,9.0 (+0.6/-0.4),Above 7.6,0.004,N/A,N/A,N/A,Yes
Atag,iC 36,47-310-26,39.3,35.4,31.9 - 37.2,9.0 (+0.6/-0.4),Above 7.6,0.004,N/A,N/A,N/A,Yes
Atag,iC Economiser 27,47-310-27,31.4,28.3,25.5 - 29.7,9.0 (+0.6/-0.4),Above 7.6,0.004,N/A,N/A,N/A,Yes
Atag,iC Economiser 35,47-310-29,40.3,36.3,32.7 - 38.1,9.0 (+0.6/-0.4),Above 7.6,1.004,N/A,N/A,N/A,Yes
Baxi,50HE Plus,41-077-41,16.9,15.2,13.7 - 16.0,9 (+/-1.0),N/A,0.004,N/A,N/A,N/A,Yes
Baxi,80 HE Plus,41-077-42,24.5,22.1,19.9 - 23.2,9 (+/-1.0),N/A,0.004,N/A,N/A,N/A,Yes
Baxi,Assure 500 Combi  2 30,47-077-60,34.29,30.9,27.8 - 32.4,Between 8.8 and 9.5,Between 8.1 and 8.7,0.004,350,N/A,N/A,Yes
Baxi,Assure 500 Combi 2 24,47-077-59,27.42,24.7,22.2 - 25.9,Between 8.8 and 9.4,Between 8.1 and 8.6,0.004,350,N/A,N/A,Yes
Baxi,Assure Combi 30,47-077-43,34.3,30.9,27.8 - 32.4,9.0 (+0.3/-0.2),8.5 (+0.1/-0.4),0.004,N/A,N/A,N/A,Yes
Baxi,Bermuda 401,41-077-49,17.64,15.9,14.3 - 16.7,N/A,N/A,N/A,N/A,18.2,3.2,Yes
Baxi,Bermuda 45/4 M,41-077-71,24.08,21.7,19.5 - 22.8,N/A,N/A,N/A,N/A,17,10.5,Yes
Baxi,Combi 105 E,47-075-08,34.3,30.9,27.8 - 32.4,N/A,N/A,N/A,N/A,13.4 (+/-0.5),1.8 (+/-0.2),Yes
